Zip,Latitude,Longitude,Density
48710,43.556574,-83.994328,0
48921,42.723735,-84.555629,0
48922,42.732535,-84.558679,0
48924,42.599184,-84.371973,0
48929,42.732535,-84.558679,0
48930,42.732535,-84.558679,0
50319,41.592089,-93.603967,0
53792,43.06956,-89.423861,0
53793,43.06956,-89.423861,0
53794,43.06956,-89.423861,0
55111,44.882838,-93.200671,0
55155,44.952165,-93.095518,0
55161,45.005902,-93.105869,0
55164,44.990915,-93.106593,0
55165,45.005902,-93.105869,0
55166,45.005902,-93.105869,0
55168,45.005902,-93.105869,0
55169,45.005902,-93.105869,0
55170,45.005902,-93.105869,0
55171,45.005902,-93.105869,0
55172,45.005902,-93.105869,0
55175,45.005902,-93.105869,0
55177,45.005902,-93.105869,0
55182,45.005902,-93.105869,0
55184,46.837172,-92.202829,0
55187,45.005902,-93.105869,0
55188,45.005902,-93.105869,0
55189,45.005902,-93.105869,0
55190,45.005902,-93.105869,0
55191,45.005902,-93.105869,0
55272,46.147161,-93.084687,0
55905,44.022513,-92.466826,0
58702,48.336898,-101.451285,0
63155,38.6531,-90.243462,0
63156,38.6531,-90.243462,0
63157,38.6531,-90.243462,0
63158,38.6531,-90.243462,0
63160,38.6531,-90.243462,0
63163,38.6531,-90.243462,0
63164,38.6531,-90.243462,0
63166,38.6531,-90.243462,0
63167,38.638318,-90.427118,0
63169,38.6531,-90.243462,0
63171,38.6531,-90.243462,0
63177,38.6531,-90.243462,0
63178,38.6531,-90.243462,0
63179,38.6531,-90.243462,0
63180,38.6531,-90.243462,0
63182,38.6531,-90.243462,0
63188,38.6531,-90.243462,0
63195,38.6531,-90.243462,0
63196,38.6531,-90.243462,0
63197,38.6531,-90.243462,0
63198,38.638318,-90.427118,0
63199,38.6531,-90.243462,0
63902,36.712451,-90.407013,0
63931,36.66101,-90.850785,0
64102,39.093854,-94.60411,0
66115,39.141419,-94.61878,0
66117,39.096551,-94.749538,0
67260,37.693588,-97.480419,0
67275,37.693588,-97.480419,0
67276,37.693588,-97.480419,0
67277,37.693588,-97.480419,0
67278,37.693588,-97.480419,0
70139,30.032997,-89.882564,0
70140,29.95612,-90.078312,0
70141,29.677893,-90.0901,0
70142,30.032997,-89.882564,0
70143,30.032997,-89.882564,0
70144,29.930433,-90.038021,0
70145,30.032997,-89.882564,0
70146,30.032997,-89.882564,0
70148,30.030902,-90.068022,0
70149,30.032997,-89.882564,0
70150,30.032997,-89.882564,0
70151,30.032997,-89.882564,0
70152,30.032997,-89.882564,0
70153,30.032997,-89.882564,0
70154,30.032997,-89.882564,0
70155,29.940138,-90.109823,0
70156,30.032997,-89.882564,0
70157,30.032997,-89.882564,0
70158,29.922905,-90.070922,0
70159,30.032997,-89.882564,0
70160,30.032997,-89.882564,0
70161,30.032997,-89.882564,0
70162,30.032997,-89.882564,0
70163,29.95006,-90.07532,0
70164,30.032997,-89.882564,0
